"word","5.260","category_reason","definition"
"a","7.360","common english (recognizable)","a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation"
"aa","4.010","common english (recognizable)","a dry form of lava resembling clinkers"
"aah","2.810","uncommon or archaic (low frequency)","express admiration and pleasure by uttering `ooh' or `aah'"
"aardvark","2.390","uncommon or archaic (low frequency)","nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata"
"aardvarks","1.680","uncommon or archaic (low frequency)","nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata"
"aardwolf","1.110","uncommon or archaic (low frequency)","striped hyena of southeast Africa that feeds chiefly on insects"
"ab","4.060","common english (recognizable)","a bachelor's degree in arts and sciences"
"aba","3.320","uncommon or archaic (low frequency)","a loose sleeveless outer garment made from aba cloth; worn by Arabs"
"abaca","1.770","uncommon or archaic (low frequency)","a kind of hemp obtained from the abaca plant in the Philippines"
"abaci","1.190","uncommon or archaic (low frequency)","a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave"
"aback","2.990","uncommon or archaic (low frequency)","having the wind against the forward side of the sails"
"abacus","2.650","uncommon or archaic (low frequency)","a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave"
"abacuses","1.120","uncommon or archaic (low frequency)","a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave"
"abaft","1.800","uncommon or archaic (low frequency)","at or near or toward the stern of a ship or tail of an airplane"
"abalone","2.660","uncommon or archaic (low frequency)","any of various large edible marine gastropods of the genus Haliotis having an ear-shaped shell with pearly interior"
"abalones","1.440","uncommon or archaic (low frequency)","any of various large edible marine gastropods of the genus Haliotis having an ear-shaped shell with pearly interior"
"abandon","4.020","common english (recognizable)","the trait of lacking restraint or control; reckless freedom from inhibition or worry"
"abandoned","4.400","common english (recognizable)","forsake, leave behind"
"abandoning","3.510","common english (recognizable)","forsake, leave behind"
"abandonment","3.400","uncommon or archaic (low frequency)","the act of giving something up"
"abandonments","1.600","uncommon or archaic (low frequency)","the act of giving something up"
"abandons","2.960","uncommon or archaic (low frequency)","the trait of lacking restraint or control; reckless freedom from inhibition or worry"
"abase","1.560","uncommon or archaic (low frequency)","cause to feel shame; hurt the pride of"
"abased","1.540","uncommon or archaic (low frequency)","cause to feel shame; hurt the pride of"
"abasement","1.710","uncommon or archaic (low frequency)","a low or downcast state; - H.L.Menchken"
"abash","1.020","uncommon or archaic (low frequency)","cause to be embarrassed; cause to feel self-conscious"
"abashed","1.790","uncommon or archaic (low frequency)","cause to be embarrassed; cause to feel self-conscious"
"abasing","1.070","uncommon or archaic (low frequency)","cause to feel shame; hurt the pride of"
"abate","2.680","uncommon or archaic (low frequency)","make less active or intense"
"abated","2.590","uncommon or archaic (low frequency)","make less active or intense"
"abatement","2.730","uncommon or archaic (low frequency)","an interruption in the intensity or amount of something"
"abatements","1.730","uncommon or archaic (low frequency)","an interruption in the intensity or amount of something"
"abates","1.750","uncommon or archaic (low frequency)","make less active or intense"
"abating","2.270","uncommon or archaic (low frequency)","make less active or intense"
"abatis","1.330","uncommon or archaic (low frequency)","a line of defense consisting of a barrier of felled or live trees with branches (sharpened or with barbed wire entwined) pointed toward the enemy"
"abattoir","2.500","uncommon or archaic (low frequency)","a building where animals are butchered"
"abattoirs","2.130","uncommon or archaic (low frequency)","a building where animals are butchered"
"abaxial","1.540","uncommon or archaic (low frequency)","facing away from the axis of an organ or organism"
"abbacy","1.320","uncommon or archaic (low frequency)","the jurisdiction or office of an abbot"
"abbe","2.440","uncommon or archaic (low frequency)","a French abbot"
"abbes","1.210","uncommon or archaic (low frequency)","a French abbot"
"abbess","2.500","uncommon or archaic (low frequency)","the superior of a group of nuns"
"abbesses","1.440","uncommon or archaic (low frequency)","the superior of a group of nuns"
"abbey","3.880","common english (recognizable)","a church associated with a monastery or convent"
"abbeys","2.270","uncommon or archaic (low frequency)","a church associated with a monastery or convent"
"abbot","3.430","uncommon or archaic (low frequency)","the superior of an abbey of monks"
"abbots","2.430","uncommon or archaic (low frequency)","the superior of an abbey of monks"
"abbreviate","2.230","uncommon or archaic (low frequency)","reduce in scope while retaining essential elements"
"abbreviated","3.190","uncommon or archaic (low frequency)","reduce in scope while retaining essential elements"
"abbreviates","1.450","uncommon or archaic (low frequency)","reduce in scope while retaining essential elements"
"abbreviating","1.770","uncommon or archaic (low frequency)","reduce in scope while retaining essential elements"
"abbreviation","3.140","uncommon or archaic (low frequency)","a shortened form of a word or phrase"
"abbreviations","3.040","uncommon or archaic (low frequency)","a shortened form of a word or phrase"
"abdicate","2.660","uncommon or archaic (low frequency)","give up, such as power, as of monarchs and emperors, or duties and obligations"
